country_code,country_name,country_alias
INO,Indonesia,Indonesia
IRN,Iran,Iran
IRQ,Iraq,Iraq
IRE,Ireland,Ireland
IMY,Isle of Man,Isle of Man
ISR,Israel,Israel
ITA,Italy,Italy
JAM,Jamaica,Jamaica
JPN,Japan,Japan
JOR,Jordan,Jordan
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
KIR,Kiribati,Kiribati
KOD,"Korea, Democratic Republic",North Korea
KOR,"Korea, Rep. of","Korea, Rep. of"
KOS,Kosovo,
KUW,Kuwait,Kuwait
KGZ,Kyrgyz Republic,Kyrgyz Republic
LAO,Lao PDR,Lao PDR
LAT,Latvia,Latvia
LEB,Lebanon,Lebanon
LES,Lesotho,Lesotho
LIB,Liberia,Liberia
LBY,Libya,Libya
LIE,Liechtenstein,Liechtenstein
LTU,Lithuania,Lithuania
LUX,Luxembourg,Luxembourg
MAC,"Macao, China","Macao, China"
MKD,Macedonia FYR,Macedonia FYR
MDG,Madagascar,Madagascar
MWI,Malawi,Malawi
MAL,Malaysia,Malaysia
MLD,Maldives,Maldives
MLI,Mali,Mali
MLT,Malta,Malta
RMI,"Marshall Islands, Republic of the","Marshall Islands, Republic of the"
MTQ,Martinique,Martinique
MRT,Mauritania,Mauritania
MUS,Mauritius,Mauritius
MYT,Mayotte,Mayotte
MEX,Mexico,Mexico
FSM,"Micronesia, Fed. States of","Micronesia, Fed. States of"
MEN,Middle east n.s.,
MOL,Moldova,Moldova
MCO,Monaco,Monaco
MON,Mongolia,Mongolia
MNT,Montenegro,
MOR,Morocco,Morocco
MOZ,Mozambique,Mozambique
MYA,Myanmar,Myanmar
NAM,Namibia,Namibia
NAU,Nauru,"Nauru, Republic of"
NEP,Nepal,Nepal
NET,Netherlands,Netherlands
NEA,Netherlands Antilles,Netherlands Antilles
NCA,New Caledonia,New Caledonia
NZL,New Zealand,New Zealand
NIC,Nicaragua,Nicaragua
NGR,Niger,Niger
NGA,Nigeria,Nigeria
NIU,Niue,Niue
MNP,Northern Mariana Islands,Northern Mariana Is.
NOR,Norway,Norway
OPT,Occupied Palestinian Territory,
ONS,Oceania n.s.,
OMA,Oman,Oman
PAK,Pakistan,Pakistan
PLW,Palau,Palau
PAN,Panama,Panama
PNG,Papua New Guinea,Papua New Guinea
PRY,Paraguay,Paraguay
PER,Peru,Peru
PHI,Philippines,Philippines
POL,Poland,Poland
PRT,Portugal,Portugal
PUE,Puerto Rico,Puerto Rico
QAT,Qatar,Qatar
REU,Reunion,Reunion
ROM,Romania,Romania
RUS,Russian Federation,Russia
RWA,Rwanda,Rwanda
STH,Saint Helena,St. Helena
STK,Saint Kitts-Nevis,St. Kitts-Nevis
STL,Saint Lucia,St. Lucia
SPM,Saint Pierre-Miquelon,St. Pierre-Miquelon
STV,Saint Vincent and the Grenadines,St. Vincent & Grens.
SAM,Samoa,Samoa
SMR,San Marino,San Marino
STP,Sao Tome and Principe,Sao Tome e Principe
SAU,Saudi Arabia,Saudi Arabia
SEN,Senegal,Senegal
SNM,Serbia and Montenegro,
SNE,Serbia and Montenegro n.s.,
SER,"Serbia, Republic of",
SEY,Seychelles,Seychelles
SIE,Sierra Leone,Sierra Leone
SIN,Singapore,Singapore
SLR,Slovak Republic,Slovak Republic
SLO,Slovenia,Slovenia
SOL,Solomon Islands,Solomon Islands
SOM,Somalia,Somalia
SOA,South Africa,South Africa
SPA,Spain,Spain
SSH,Spanish Sahara,Spanish Sahara
SRI,Sri Lanka,Sri Lanka
SUD,Sudan,Sudan
SUR,Suriname,Suriname
SWA,Swaziland,Swaziland
SWE,Sweden,Sweden
SWI,Switzerland,Switzerland
SAR,Syrian Arab Republic,Syrian Arab Republic
TAP,"Taipei,China","Taipei,China"
TAJ,Tajikistan,Tajikistan
TNZ,"Tanzania, United Republic of","Tanzania, United Rep"
THA,Thailand,Thailand
YUS,The former Yugoslavia Republic,Yugoslavia SFR
TIM,Timor-Leste,Timor-Leste
TOG,Togo,Togo
TON,Tonga,Tonga
TTO,Trinidad and Tobago,Trinidad and Tobago
TUN,Tunisia,Tunisia
TUR,Turkey,Turkey
TKM,Turkmenistan,Turkmenistan
TUV,Tuvalu,Tuvalu
USV,U.S. Virgin Islands,Virgin Islands U.S.
UGA,Uganda,Uganda
UKR,Ukraine,Ukraine
USR,Union of Soviet Socialist Republics,U.S.S.R.
UAE,United Arab Emirates,United Arab Emirates
UKG,United Kingdom,United Kingdom
USA,United States,United States
URU,Uruguay,Uruguay
USN,USSR n.s.,
UZB,Uzbekistan,Uzbekistan
VAN,Vanuatu,Vanuatu
VEN,"Venezuela, Bolivarian Republic of","Venezuela, Bol. Rep."
VIE,Viet Nam,Viet Nam
WAS,Wake Islands,Wake Islands
WFI,Wallis and Futuna,Wallis-Futuna
WBG,West Bank and Gaza,West Bank and Gaza
YAR,"Yemen, Arab Republic of","Yemen, Arab Rep. Of"
YPR,"Yemen, People's Democratic Republic of","Yemen, PDR"
YEM,"Yemen, Republic of","Yemen, Republic of"
YUN,Yugoslavia n.s.,
YUG,"Yugoslavia, Federal Republic of",Yugoslavia Fed. Rep.
ZAM,Zambia,Zambia
ZIM,Zimbabwe,Zimbabwe
WLD,ZZ0-World,World
ACW,ZZA-Central and West Asia,A-Central and West Asia
AEA,ZZA-East Asia,A-East Asia
ASO,ZZA-South Asia,A-South Asia
AST,ZZA-Southeast Asia,A-Southeast Asia
ATP,ZZA-The Pacific,A-The Pacific
ASA,ZZF-AC Southeast Asia,Southeast Asia
ASE,ZZF-Asia,Asia
ASJ,ZZF-Asia excluding Japan,Asia excluding Japan
APA,ZZF-Asia Pacific,Asia Pacific
APJ,ZZF-Asia Pacific excluding Japan,Asia Pacific excluding Japan
FET,ZZF-Far East,Far East
FEJ,ZZF-Far East excluding Japan,Far East excluding Japan
PAC,ZZF-Pacific,Pacific
AFR,ZZI-IMFDeveloping Africa,Dev Africa
ASI,ZZI-IMFDeveloping Asia,Dev Asia
DCT,ZZI-IMFDeveloping Countries,Dev Countries
DEU,ZZI-IMFDeveloping Europe,Dev Europe
DME,ZZI-IMFDeveloping Middle East,Dev Middle East
DWH,ZZI-IMFDeveloping Western Hemisphere,Dev West Hemisphere
IDC,ZZI-IMFIndustrial Countries,Industrial Countries
KCW,ZZK-Central and West Asia,K-Central and West Asia
KDD,ZZK-Developed Member Economy,K-Developed Member Economy
KDE,ZZK-Developing Member Economy,K-Developing Member Economy
KEA,ZZK-East Asia,K-East Asia
KRM,ZZK-Regional Members,K-Regional Members
KSA,ZZK-South Asia,K-South Asia
KSE,ZZK-Southeast Asia,K-Southeast Asia
KTP,ZZK-The Pacific,K-The Pacific
EAP,ZZW-WBEast Asia and Pacific (Asia),East Asia & Pacific
ECA,ZZW-WBEurope and Central Asia,Europe & Cent Asia
LAC,ZZW-WBLatin America and Caribbean (Americas),Lat Amer & Caribbean
MNA,ZZW-WBMiddle East and North Africa,MEast & North Africa
NOA,ZZW-WBNorth America (Americas),North America
SAS,ZZW-WBSouth Asia (Asia),South Asia
SSA,ZZW-WBSub-Saharan Africa,Sub-Saharan Africa
